ISO_3,capital_lat,capital_lon,country,event_date,Battles_Armed clash,Battles_Government regains territory,Battles_Non-state actor overtakes territory,Explosions/Remote violence_Air/drone strike,Explosions/Remote violence_Chemical weapon,Explosions/Remote violence_Grenade,Explosions/Remote violence_Remote explosive/landmine/IED,Explosions/Remote violence_Shelling/artillery/missile attack,Explosions/Remote violence_Suicide bomb,Protests_Excessive force against protesters,Protests_Peaceful protest,Protests_Protest with intervention,Riots_Mob violence,Riots_Violent demonstration,Strategic developments_Agreement,Strategic developments_Arrests,Strategic developments_Change to group/activity,Strategic developments_Disrupted weapons use,Strategic developments_Headquarters or base established,Strategic developments_Looting/property destruction,Strategic developments_Non-violent transfer of territory,Strategic developments_Other,Violence against civilians_Abduction/forced disappearance,Violence against civilians_Attack,Violence against civilians_Sexual violence,Fatalities_Remote explosive/landmine/IED,Fatalities_Shelling/artillery/missile attack,Fatalities_Armed clash,Fatalities_Air/drone strike,Fatalities_Attack,Fatalities_Peaceful protest,Fatalities_Non-state actor overtakes territory,Fatalities_Abduction/forced disappearance,Fatalities_Disrupted weapons use,Fatalities_Government regains territory,Fatalities_Mob violence,Fatalities_Change to group/activity,Fatalities_Suicide bomb,Fatalities_Non-violent transfer of territory,Fatalities_Protest with intervention,Fatalities_Looting/property destruction,Fatalities_Arrests,Fatalities_Sexual violence,Fatalities_Headquarters or base established,Fatalities_Grenade,Fatalities_Violent demonstration,Fatalities_Agreement,Fatalities_Excessive force against protesters,Fatalities_Other,Fatalities_Chemical weapon,violence index,quarter,month,week,General,Legislative,Local,Parliamentary,Presidential,Referendum,holiday,violence index_moving_avg
AFG,33.9391,67.71,Afghanistan,2017-06-09,174.0,1.0,1.0,9.0,0.0,0.0,75.0,11.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,39.0,20.0,313.0,43.0,6.0,0.0,0.0,0.0,3.0,56.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.1152643383532,2,6,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-06-16,136.0,2.0,2.0,9.0,0.0,0.0,58.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,40.0,0.0,285.0,50.0,4.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.4248433786112,2,6,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-06-23,145.0,8.0,4.0,6.0,0.0,0.0,56.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,17.0,0.0,405.0,50.0,3.0,0.0,74.0,0.0,0.0,75.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,585.9050114362019,2,6,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-06-30,68.0,0.0,0.0,14.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,20.0,40.0,308.0,76.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.7115775491718,2,6,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-07-07,163.0,0.0,0.0,30.0,0.0,0.0,38.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,24.0,4.0,541.0,174.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.5125276806206,3,7,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-07-14,151.0,2.0,0.0,21.0,0.0,0.0,36.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,7.0,0.0,454.0,163.0,10.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.2185712093096,3,7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-07-21,230.0,0.0,5.0,22.0,0.0,0.0,65.0,14.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,24.0,7.0,643.0,165.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.2294730591461,3,7,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-07-28,223.0,3.0,5.0,30.0,0.0,0.0,51.0,17.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,7.0,0.0,12.0,2.0,835.0,410.0,5.0,0.0,91.0,0.0,6.0,60.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.6167682657025,3,7,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-08-04,167.0,3.0,4.0,23.0,0.0,0.0,48.0,7.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,750.0,226.0,46.0,0.0,0.0,0.0,2.0,161.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.1961498352143,3,8,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-08-11,197.0,1.0,3.0,16.0,0.0,0.0,45.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,13.0,1.0,547.0,98.0,23.0,0.0,0.0,0.0,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.8871941025077,3,8,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
